"_id","type","properties","geometry"
"65f9adad8419e9b6fab8ffaf","Feature","{""fid"":4481,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29178.7946137292,""y"":30796.1451182999,""LONG"":103.8439105577,""LAT"":1.2947838872,""COORD"":""(1.2947838872, 103.8439105577)""}","{""type"":""Point"",""coordinates"":[103.84391055772305,1.294783887231022]}"
"65f9adad8419e9b6fab8ffb0","Feature","{""fid"":4583,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29832.3916137293,""y"":31167.1402183007,""LONG"":103.8497834304,""LAT"":1.2981390048,""COORD"":""(1.2981390048, 103.8497834304)""}","{""type"":""Point"",""coordinates"":[103.84978343043537,1.298139004788256]}"
"65f9adad8419e9b6fab8ffb1","Feature","{""fid"":4584,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29795.1495137299,""y"":31168.276018300996,""LONG"":103.8494487937,""LAT"":1.2981492787,""COORD"":""(1.2981492787, 103.8494487937)""}","{""type"":""Point"",""coordinates"":[103.84944879372635,1.298149278731859]}"
"65f9adad8419e9b6fab8ffb2","Feature","{""fid"":4676,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29339.1194137298,""y"":31194.938318301,""LONG"":103.8453511622,""LAT"":1.2983904261,""COORD"":""(1.2983904261, 103.8453511622)""}","{""type"":""Point"",""coordinates"":[103.84535116224757,1.298390426125402]}"
"65f9adad8419e9b6fab8ffb3","Feature","{""fid"":4701,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":29982.6998137292,""y"":30859.4280182999,""LONG"":103.8511339968,""LAT"":1.2953561548,""COORD"":""(1.2953561548, 103.8511339968)""}","{""type"":""Point"",""coordinates"":[103.85113399678268,1.295356154816326]}"
"65f9adad8419e9b6fab8ffb4","Feature","{""fid"":4842,""type"":""BUSSTOP"",""layer"":""BUSSTOP"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=BUSSTOP"",""x"":28126.8134137299,""y"":30348.278218301,""LONG"":103.8344580507,""LAT"":1.2907335583,""COORD"":""(1.2907335583, 103.8344580507)""}","{""type"":""Point"",""coordinates"":[103.83445805074373,1.290733558345456]}"
"65f9adad8419e9b6fab8ffb5","Feature","{""fid"":5615,""type"":""FNB"",""layer"":""FNB"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=FNB"",""x"":29678.2705000469,""y"":29873.2927998611,""LONG"":103.848398515,""LAT"":1.2864379125,""COORD"":""(1.2864379125, 103.848398515)""}","{""type"":""Point"",""coordinates"":[103.848398514979,1.28643791251094]}"
"65f9adad8419e9b6fab8ffb6","Feature","{""fid"":5618,""type"":""FNB"",""layer"":""FNB"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=FNB"",""x"":29713.3851000793,""y"":29962.240999862,""LONG"":103.8487140386,""LAT"":1.2872423269,""COORD"":""(1.2872423269, 103.8487140386)""}","{""type"":""Point"",""coordinates"":[103.848714038599,1.28724232688476]}"
"65f9adad8419e9b6fab8ffb7","Feature","{""fid"":5619,""type"":""FNB"",""layer"":""FNB"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=FNB"",""x"":29687.7314000608,""y"":29913.0480998614,""LONG"":103.8484835271,""LAT"":1.286797445,""COORD"":""(1.286797445, 103.8484835271)""}","{""type"":""Point"",""coordinates"":[103.848483527091,1.28679744497028]}"
"65f9adad8419e9b6fab8ffb8","Feature","{""fid"":5687,""type"":""FNB"",""layer"":""FNB"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=FNB"",""x"":29737.8459999986,""y"":30061.8283998641,""LONG"":103.8489338352,""LAT"":1.288142959,""COORD"":""(1.288142959, 103.8489338352)""}","{""type"":""Point"",""coordinates"":[103.848933835165,1.2881429589889]}"
"65f9adad8419e9b6fab8ffb9","Feature","{""fid"":5742,""type"":""FNB"",""layer"":""FNB"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=FNB"",""x"":29838.2855000417,""y"":29801.525599858596,""LONG"":103.8498363099,""LAT"":1.2857888662,""COORD"":""(1.2857888662, 103.8498363099)""}","{""type"":""Point"",""coordinates"":[103.849836309927,1.28578886621985]}"
"65f9adad8419e9b6fab8ffba","Feature","{""fid"":5775,""type"":""FNB"",""layer"":""FNB"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=FNB"",""x"":29579.7454000366,""y"":29923.145099860805,""LONG"":103.8475132298,""LAT"":1.2868887643,""COORD"":""(1.2868887643, 103.8475132298)""}","{""type"":""Point"",""coordinates"":[103.847513229823,1.28688876430446]}"
"65f9adad8419e9b6fab8ffbb","Feature","{""fid"":5776,""type"":""FNB"",""layer"":""FNB"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=FNB"",""x"":29550.4556000206,""y"":29936.8107998603,""LONG"":103.8472500498,""LAT"":1.2870123536,""COORD"":""(1.2870123536, 103.8472500498)""}","{""type"":""Point"",""coordinates"":[103.847250049814,1.28701235355302]}"
"65f9adad8419e9b6fab8ffbc","Feature","{""fid"":5777,""type"":""FNB"",""layer"":""FNB"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=FNB"",""x"":29525.4868000325,""y"":29949.583399862,""LONG"":103.8470256957,""LAT"":1.2871278657,""COORD"":""(1.2871278657, 103.8470256957)""}","{""type"":""Point"",""coordinates"":[103.84702569567,1.28712786568231]}"
"65f9adad8419e9b6fab8ffbd","Feature","{""fid"":5778,""type"":""FNB"",""layer"":""FNB"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=FNB"",""x"":29607.1651000779,""y"":30153.418999864396,""LONG"":103.8477596186,""LAT"":1.2889712791,""COORD"":""(1.2889712791, 103.8477596186)""}","{""type"":""Point"",""coordinates"":[103.847759618608,1.28897127914827]}"
"65f9adad8419e9b6fab8ffbe","Feature","{""fid"":5779,""type"":""FNB"",""layer"":""FNB"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=FNB"",""x"":29600.190700037,""y"":30143.9072998639,""LONG"":103.8476969503,""LAT"":1.288885259,""COORD"":""(1.288885259, 103.8476969503)""}","{""type"":""Point"",""coordinates"":[103.847696950275,1.28888525903297]}"
"65f9adad8419e9b6fab8ffbf","Feature","{""fid"":5780,""type"":""FNB"",""layer"":""FNB"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=FNB"",""x"":29590.3890000114,""y"":30130.6333998655,""LONG"":103.8476088773,""LAT"":1.288765215,""COORD"":""(1.288765215, 103.8476088773)""}","{""type"":""Point"",""coordinates"":[103.84760887730602,1.28876521504488]}"
"65f9adad8419e9b6fab8ffc0","Feature","{""fid"":5808,""type"":""FNB"",""layer"":""FNB"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=FNB"",""x"":29745.7266999896,""y"":30031.1941998623,""LONG"":103.8490046448,""LAT"":1.2878659136,""COORD"":""(1.2878659136, 103.8490046448)""}","{""type"":""Point"",""coordinates"":[103.849004644778,1.28786591361337]}"
"65f9adad8419e9b6fab8ffc1","Feature","{""fid"":5809,""type"":""FNB"",""layer"":""FNB"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=FNB"",""x"":29747.0069000531,""y"":30006.3039998617,""LONG"":103.8490161465,""LAT"":1.2876408153,""COORD"":""(1.2876408153, 103.8490161465)""}","{""type"":""Point"",""coordinates"":[103.849016146521,1.2876408153207]}"
"65f9adad8419e9b6fab8ffc2","Feature","{""fid"":5810,""type"":""FNB"",""layer"":""FNB"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=FNB"",""x"":29746.828800015,""y"":30001.1685998632,""LONG"":103.8490145459,""LAT"":1.2875943726,""COORD"":""(1.2875943726, 103.8490145459)""}","{""type"":""Point"",""coordinates"":[103.849014545936,1.28759437257774]}"
"65f9adad8419e9b6fab8ffc3","Feature","{""fid"":5811,""type"":""FNB"",""layer"":""FNB"",""path"":""C:/Users/Jaymie/OneDrive - Singapore Management University/fyp/SG_POI.gpkg|layername=FNB"",""x"":29746.75570005,""y"":29991.2850998624,""LONG"":103.8490138886,""LAT"":1.2875049897,""COORD"":""(1.2875049897, 103.8490138886)""}","{""type"":""Point"",""coordinates"":[103.849013888557,1.28750498968108]}"
