"_id","type","properties","geometry"
"65f1a72d24cfb376c41da38d","Feature","{""GRID_ID"":""D-9"",""ORIGIN_ID"":41,""LAT"":1.291242196,""LONG"":103.83388974,""COORD"":""(103.83388974, 1.291242196)""}","{""type"":""Point"",""coordinates"":[103.83388974000007,1.291242196000042]}"
"65f1a72d24cfb376c41da393","Feature","{""GRID_ID"":""J-9"",""ORIGIN_ID"":47,""LAT"":1.291242196,""LONG"":103.840992939,""COORD"":""(103.840992939, 1.291242196)""}","{""type"":""Point"",""coordinates"":[103.84099293900005,1.291242196000042]}"
"65f1a72d24cfb376c41da394","Feature","{""GRID_ID"":""K-9"",""ORIGIN_ID"":48,""LAT"":1.29055869,""LONG"":103.842176806,""COORD"":""(103.842176806, 1.29055869)""}","{""type"":""Point"",""coordinates"":[103.84217680600005,1.290558690000069]}"
"65f1a72d24cfb376c41da39b","Feature","{""GRID_ID"":""B-8"",""ORIGIN_ID"":55,""LAT"":1.292609207,""LONG"":103.831522007,""COORD"":""(103.831522007, 1.292609207)""}","{""type"":""Point"",""coordinates"":[103.83152200700005,1.292609207000055]}"
"65f1a72d24cfb376c41da39f","Feature","{""GRID_ID"":""F-8"",""ORIGIN_ID"":59,""LAT"":1.292609207,""LONG"":103.836257473,""COORD"":""(103.836257473, 1.292609207)""}","{""type"":""Point"",""coordinates"":[103.83625747300005,1.292609207000055]}"
"65f1a72d24cfb376c41da3a1","Feature","{""GRID_ID"":""I-8"",""ORIGIN_ID"":61,""LAT"":1.291925701,""LONG"":103.839809073,""COORD"":""(103.839809073, 1.291925701)""}","{""type"":""Point"",""coordinates"":[103.83980907300008,1.291925701000025]}"
"65f1a72d24cfb376c41da3a2","Feature","{""GRID_ID"":""J-8"",""ORIGIN_ID"":62,""LAT"":1.292609207,""LONG"":103.840992939,""COORD"":""(103.840992939, 1.292609207)""}","{""type"":""Point"",""coordinates"":[103.84099293900005,1.292609207000055]}"
"65f1a72d24cfb376c41da3a3","Feature","{""GRID_ID"":""K-8"",""ORIGIN_ID"":63,""LAT"":1.291925701,""LONG"":103.842176806,""COORD"":""(103.842176806, 1.291925701)""}","{""type"":""Point"",""coordinates"":[103.84217680600005,1.291925701000025]}"
"65f1a72d24cfb376c41da3a4","Feature","{""GRID_ID"":""L-8"",""ORIGIN_ID"":64,""LAT"":1.292609207,""LONG"":103.843360672,""COORD"":""(103.843360672, 1.292609207)""}","{""type"":""Point"",""coordinates"":[103.84336067200007,1.292609207000055]}"
"65f1a72d24cfb376c41da3ac","Feature","{""GRID_ID"":""D-7"",""ORIGIN_ID"":72,""LAT"":1.293976218,""LONG"":103.83388974,""COORD"":""(103.83388974, 1.293976218)""}","{""type"":""Point"",""coordinates"":[103.83388974000007,1.293976218000068]}"
